"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Bolivia","BOL",2019,0.265042860806318,0.265042860806318,0.265042860806318,0.265042860806318,0,0,0,"4","LMIC","Bolivia",0,0,Inf,2035,2028,2037,2029,0,0,0,0
"Bosnia and Herzegovina","BIH",2017,0.150618489445711,0.150618489445711,0.150618489445711,0.150618489445711,0,0,0,"8","UMIC","Bosnia and Herzegovina",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Bosnia and Herzegovina","BIH",2018,0.158045135268914,0.158045135268914,0.158045135268914,0.158045135268914,0,0,0,"8","UMIC","Bosnia and Herzegovina",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Bosnia and Herzegovina","BIH",2019,0.165988366045516,0.165988366045516,0.165988366045516,0.165988366045516,0,0,0,"8","UMIC","Bosnia and Herzegovina",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Botswana","BWA",2017,0.160691375299069,0.160691375299069,0.160691375299069,0.160691375299069,0,0,0,"6","UMIC","Botswana",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Botswana","BWA",2018,0.169409736424834,0.169409736424834,0.169409736424834,0.169409736424834,0,0,0,"6","UMIC","Botswana",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Botswana","BWA",2019,0.178659194583233,0.178659194583233,0.178659194583233,0.178659194583233,0,0,0,"6","UMIC","Botswana",0,0,Inf,2037,2031,2040,2032,0,0,0,0
"Brazil","BRA",2017,0.311263942394649,0.311263942394649,0.311263942394649,0.311263942394649,0,0,0,"2","UMIC","Brazil",0,0,Inf,2030,2026,2035,2027,0,0,0,0
"Brazil","BRA",2018,0.322980497785143,0.322980497785143,0.322980497785143,0.322980497785143,0,0,0,"2","UMIC","Brazil",0,0,Inf,2030,2026,2035,2027,0,0,0,0
"Brazil","BRA",2019,0.335119360040055,0.335119360040055,0.335119360040055,0.335119360040055,0,0,0,"2","UMIC","Brazil",0,0,Inf,2030,2026,2035,2027,0,0,0,0
